HHid,Country,Region,Village,Latitude,Longitude,HHsizemembers,HHsizeMAE,HouseholdType,Head_EducationLevel,LandOwned,LandCultivated,LivestockHoldings,WorstFoodSecMonth,BestFoodSecMonth,NrofMonthsFoodInsecure,score_PPI,HFIAS_status,score_HDDSGoodSeason,HDDS_farmbasedGoodSeason,HDDS_purchasedGoodSeason,score_HDDSBadSeason,HDDS_farmbasedBadSeason,HDDS_purchasedBadSeason,total_income,offfarm_income,farm_income,valuefarmproduce,cropsales,valuecropproduce,valuecropconsumed,livestockprodsales,valuelivestockproduction,valuelivestockprodconsumed,FoodAvailability,FoodSelfSufficiency,TotalEnergyAvailable,FAEnergyBought,FAEnergyOffFarm,FAEnergyCropConsumption,FAEnergyCropSales,FAEnergyLivestockConsumption,FAEnergyLivestockSales,FAEnergyFarmBased,FAMarketOrientation,FALivestockOrientation,GHGEmissions,Gender_MaleControl,Gender_FemaleControl,Gender_MaleYouthControl,Gender_FemaleYouthControl,NFertInput,CropDiv,LivestockDiv
3810,Mali,Mafounè,Sanda,12.84,-4.48,7,3.25,couple,No_school,6,6,6.48,aug,dec,4,51,FoodSecure,8,0,8,7,0,0,776.2799998,0,776.2799998,1495.155,112.5,831.375,718.875,663.7799998,663.7799998,0,16324.47254,7477.976818,19364905.55,10494155.55,0,8870750,1520833.333,0,8973322.219,19364905.55,0.541916175,0.463380634,26137.03626,0.449998196,0,0.550001804,0,23,3,6
3811,Mali,Mafounè,Sanda,12.84,-4.47,5,2.1,couple,No_school,5,5,2.06,aug,dec,3,50,SeverelyFI,1,0,1,0,0,0,129.275,0,129.275,211.22,108,189.945,81.945,21.275,21.275,0,3652.161098,1372.178735,2799381.481,1747606.481,0,1049840,1460000,1935,287606.4815,2799381.481,0.624283076,0.10343052,5595.112278,0.467235576,0,0.532764424,0,0,2,4
3812,Mali,Mafounè,Soutè,12.87,-4.48,21,6.18,couple,No_school,10,15,8.25,aug,dec,4,40,SeverelyFI,2,0,2,1,0,0,718.4749999,0,718.4749999,1080.5,441.9,803.925,362.025,276.5749999,276.5749999,0,6150.814644,1844.959436,13874392.59,9712717.592,0,4158450,5973833.333,3225,3738884.258,13874392.59,0.700046328,0.269713375,31430.65664,8.28E-05,0,0.999917218,0,30,5,7
3813,Mali,Mafounè,Sira,12.77,-4.48,9,3.7,couple,No_school,4,4,0.24,aug,nov,5,7,SeverelyFI,5,4.5,0.5,0,0,0,589.175,0,589.175,811.925,567.9,790.65,222.75,21.275,21.275,0,7969.902368,2072.25472,10763353.15,7964773.148,0,2796000,7677166.667,2580,287606.4815,10763353.15,0.739989949,0.026960602,4101.607363,0.129156441,0.258312883,0.204176892,0.408353784,24,3,3
3814,Mali,Mafounè,Sira,12.77,-4.48,9,4.53,couple,postsecondary,5,5,6,n/a,nov,0,25,FoodSecure,8,3,5,8,3,5,375.15625,75.03125,300.125,1016.714,151.2,867.789,716.589,148.925,148.925,0,8229.926344,5162.668965,13607771.71,5071556.713,1014311.343,8526540,2044000,9675,2013245.37,12593460.37,0.298156484,0.148659194,25845.48669,0.16494908,0.329898159,0.168384254,0.336768507,90,4,6
3815,Mali,Mafounè,Sira,12.76,-4.48,14,6.8,couple,No_school,12,12,8.05,n/a,nov,0,19,ModeratelyFI,8,2.5,5.5,8,2.5,5.5,3413.23,0,3413.23,4490.98,3217.5,4295.25,1077.75,195.73,195.73,0,23965.85937,5375.282031,59483262.96,46141812.96,0,13335000,43495833.33,6450,2645979.629,59483262.96,0.775710858,0.044591192,32037.53475,0.000324613,0.000649225,0.499281896,0.499744266,240,4,7
3816,Mali,Mafounè,Sira,12.77,-4.48,9,5.65,couple,primary,4,4,3.6,aug,nov,2,14,ModeratelyFI,6,4,2,2,0.5,1.5,605.05,0,605.05,1265.2369,562.5,1222.6869,660.1869,42.55,42.55,0,8682.060676,4715.820099,17904579.63,8179379.63,0,9718750,7604166.667,6450,575212.963,17904579.63,0.456831704,0.032486826,11927.12046,0.140724025,0.28144805,0.192609309,0.385218617,32,4,5
3817,Mali,Mafounè,Sanda,12.84,-4.48,18,9.53,couple,No_school,15,10,8.45,aug,nov,1,63,ModeratelyFI,7,5,2,3,1,2,1285.14375,257.02875,1028.115,2043.315,760.05,1775.25,1015.2,268.065,268.065,0,8048.675296,3054.140494,27996914.58,17373239.58,3474647.917,10614000,10274750,9675,3623841.666,24522266.67,0.496432977,0.129782754,36314.98519,0.249970892,0.249970892,0.250029108,0.250029108,56,5,8
3818,Mali,Mafounè,Sanda,12.84,-4.48,10,5.43,couple,No_school,8,8,2.84,aug,nov,1,56,ModeratelyFI,8,7,1,0,0,0,225,0,225,632.25,225,632.25,407.25,0,0,0,4045.468688,2510.784833,8017916.667,3041666.667,0,4976250,3041666.667,0,0,8017916.667,0.379358728,0,9084.072401,0.210140654,0.210140654,0.289859346,0.289859346,0,5,6
3819,Mali,Mafounè,Sira,12.77,-4.48,2,0,couple,No_school,3,3,2.65,sep,nov,4,44,ModeratelyFI,7,2.5,4,1,0,1,493.55,0,493.55,783.62,472.275,762.345,290.07,21.275,21.275,0,NA,NA,9702394.815,6672064.815,0,3027750,6384458.333,2580,287606.4815,9702394.815,0.687671955,0.029908748,12073.93113,0.125960907,0.251921814,0.207372426,0.414744853,32,4,5
3820,Mali,Mafounè,Sanda,12.83,-4.47,8,3.5,couple,No_school,5,5,5.15,n/a,nov,0,43,FoodSecure,7,4,3,7,4,3,459.825,0,459.825,970.6425,396,906.8175,510.8175,63.825,63.825,0,9349.986519,4484.113503,11944607.78,6216152.778,0,5725230,5353333.333,3225,862819.4445,11944607.78,0.520414977,0.072505055,23215.53067,0.22858454,0.247869227,0.244282028,0.279264205,0,4,8
3821,Mali,Mafounè,Sanda,12.84,-4.48,17,10.2,couple,No_school,8,8,4.8,aug,nov,1,41,ModeratelyFI,7,4,2,1,0,1,692.2875,138.4575,553.83,1258.53,528.3,1233,704.7,25.53,25.53,0,4392.338541,1878.585818,16352676.39,9358701.389,1871740.278,6990750,7141833.333,3225,345127.7778,14480936.11,0.457843165,0.021302493,18435.58178,0.137148962,0.274297923,0.196184372,0.392368743,56,5,7
3822,Mali,Mafounè,Sanda,12.84,-4.48,10,5.68,couple,No_school,11,8,4.4,aug,nov,1,60,ModeratelyFI,7,5,2,2,0,2,144308.4875,28861.6975,115446.79,126317.98,115200,126071.19,10871.19,246.79,246.79,0,995609.0998,54630.43845,2064096786,1950836961,390167392.1,113257890,1557333333,1935,3336235.185,1673929394,0.756102901,0.001617255,54015.31272,0.245429255,0.245429255,0.254570745,0.254570745,104,5,7
3823,Mali,Mafounè,Sanda,12.84,-4.48,10,5.98,couple,No_school,15,6,1.2,aug,nov,1,29,SeverelyFI,7,4,2,1,0,1,8153.18125,0,8153.18125,18418.8625,8110.63125,18376.3125,10265.68125,42.55,42.55,0,94199.37198,43702.77065,205608969.2,110218931.7,0,95386812.5,109643718.8,3225,575212.963,205608969.2,0.536060913,0.002813291,11029.68038,0.004870695,0.332755358,0.328462638,0.333911309,552,5,4
3824,Mali,Mafounè,Sira,12.76,-4.48,18,9.33,couple,primary,10,10,4.15,aug,nov,2,20,SeverelyFI,6,4,2,2,1.5,0.5,742.5,148.5,594,1545.75,594,1545.75,951.75,0,0,0,5774.948979,2827.467736,19666300,10037500,2007500,9628800,8030000,0,0,17658800,0.408312697,0,53371.04375,0.489097048,0,0.510902952,0,2.1,3,7
3825,Mali,Mafounè,Sira,12.76,-4.48,21,8.1,couple,primary,17,6.5,3.28,aug,oct,3,0,SeverelyFI,6,3.5,2.5,2,1.5,0.5,1215,607.5,607.5,1183.5,607.5,1183.5,576,0,0,0,7629.460511,2073.904955,22556500,16425000,8212500,6131500,8212500,0,0,14344000,0.36408574,0,14040.39524,0.412523726,0,0.587476274,0,105,4,6
3826,Mali,Mafounè,Sira,12.76,-4.48,12,7.1,couple,adult_education,NA,3,0.6,aug,nov,3,47,SeverelyFI,6,3.5,2.5,2,1,1,736.875,147.375,589.5,793.26,589.5,793.26,203.76,0,0,0,4502.692778,658.7960641,11668728.33,9961458.333,1992291.667,1707270,7969166.667,0,0,9676436.667,0.682950741,0,2175.052059,0.467672554,0,0.532327446,0,73.5,3,3
3827,Mali,Mafounè,Sira,12.76,-4.48,7,4.8,couple,No_school,3,3,1.2,aug,nov,3,39,SeverelyFI,7,3,4,2,1,1,433.125,86.625,346.5,779.625,346.5,779.625,433.125,0,0,0,6164.502473,2822.488584,10800208.33,5855208.333,1171041.667,4945000,4684166.667,0,0,9629166.667,0.433710769,0,4450.935283,0.478311443,0,0.521688557,0,84,3,4
3828,Mali,Mafounè,Sira,12.76,-4.48,8,4.7,couple,No_school,12,12,127.7,n/a,oct,0,28,SeverelyFI,5,3.5,1.5,5,3.5,1.5,644.625,128.925,515.7,1290.6,515.7,1290.6,774.9,0,0,0,10164.22326,5084.436024,17436725,8714375,1742875,8722350,6971500,0,0,15693850,0.399817053,0,220661.9635,0.300691855,0.182453019,0.311928606,0.20492652,1.89,3,7
3829,Mali,Mafounè,Sira,12.76,-4.48,15,8.05,couple,religious_school,0,9,9.3,n/a,nov,0,35,FoodSecure,6,2.5,3,6,2.5,3,2487.81,0,2487.81,3402.435,2436.75,3351.375,914.625,51.05999999,51.05999999,0,15305.79616,3859.695397,44972255.56,33631505.56,0,11340750,32941250,0,690255.5554,44972255.56,0.747827858,0.015348475,39288.2482,0.389125021,0.025446103,0.559982774,0.025446103,231,5,7
3830,Mali,Mafounè,Sira,12.76,-4.48,5,3.25,couple,adult_education,0,12,9.16,n/a,nov,0,33,FoodSecure,6,2.5,2,6,2.5,2,4950,990,3960,4650.3,3960,4650.3,690.3,0,0,0,63897.71689,7487.460485,75798666.67,66916666.67,13383333.33,8882000,53533333.33,0,0,62415333.33,0.706256926,0,42699.95823,0.344233051,0.013009833,0.629747282,0.013009833,315,3,6
3831,Mali,Mafounè,Sira,12.76,-4.48,7,5.4,couple,adult_education,3,8,8.3,n/a,nov,0,24,FoodSecure,6,2,4,6,2,4,1506.81,0,1506.81,2104.86,1455.75,2053.8,598.05,51.05999999,51.05999999,0,13214.6316,2879.85794,26046038.89,20369838.89,0,5676200,19679583.33,0,690255.5554,26046038.89,0.782070509,0.026501364,45846.779,0.387866796,0,0.612133204,0,126,4,7
3832,Mali,Mafounè,Sira,12.76,-4.47,4,2.75,couple,religious_school,NA,1.5,1.6,sep,nov,3,40,SeverelyFI,7,2,4.5,1,0,1,1119.26,559.63,559.63,738.631,236.25,415.251,179.001,323.38,323.38,0,17230.09916,2155.890411,17294712.04,15130737.04,7565368.518,2117750,3193750,46225,4371618.518,9729343.518,0.437438247,0.255444757,5721.596092,0.000103774,1.71E-05,0.999860062,1.91E-05,9.2,2,4
3833,Mali,Mafounè,Sira,12.76,-4.48,8,6.25,couple,No_school,3,12,4.85,sep,nov,2,33,SeverelyFI,7,3.5,1.5,2,0,2,3346.81875,0,3346.81875,3913.875,3346.81875,3913.875,567.05625,0,0,0,22477.84932,2644.849315,51277593.75,45244031.25,0,6033562.5,45244031.25,0,0,51277593.75,0.882335304,0,32410.86748,0.334061947,0.023738165,0.618461723,0.023738165,441,4,6
3834,Mali,Mafounè,Sira,12.76,-4.48,7,5.1,couple,adult_education,0,7,7.8,n/a,nov,0,26,FoodSecure,7,4,3,7,4,3,3000.426562,600.0853125,2400.34125,3364.185,2349.28125,3313.125,963.84375,51.05999999,51.05999999,0,27097.63473,5308.044588,50442247.05,40561322.05,8112264.41,9880925,31758802.08,0,690255.5554,42329982.64,0.643291279,0.013684076,35255.98865,0.277639959,0.137458935,0.334240697,0.25066041,136.5,4,6
3835,Mali,Mafounè,Sira,12.76,-4.48,7,3.6,couple,No_school,12,6,5.3,n/a,oct,0,49,MildlyFI,5,4,1,5,4,1,1183.8625,0,1183.8625,1573.675,1141.3125,1531.125,389.8125,42.55,42.55,0,15672.80603,3493.150685,20594067.13,16004067.13,0,4590000,15428854.17,0,575212.963,20594067.13,0.777120276,0.027931004,23405.76138,0.370517967,0,0.629482033,0,126,4,6
3836,Mali,Mafounè,Sira,12.76,-4.48,6,3.1,couple,secondary,3,3,6.95,aug,oct,1,69,MildlyFI,6,4,2,3,0,3,1429.679999,714.8399997,714.8399997,1339.215,0,624.375,624.375,714.8399997,714.8399997,0,23987.54357,6906.539991,27141905.55,19327155.55,9663577.774,7814750,0,0,9663577.774,17478327.77,0.356039032,0.356039032,29396.31832,0.405339869,0,0.594660131,0,157.5,3,7
3837,Mali,Mafounè,Sira,12.76,-4.47,18,7.88,couple,secondary,0,10,22.95,n/a,oct,0,48,MildlyFI,6,4,1,6,4,1,47629.2,23814.6,23814.6,25515.6,23176.35,24877.35,1701,638.2499998,638.2499998,0,230960.3721,7096.863918,664288222.2,643876222.2,321938111.1,20412000,313309916.7,0,8628194.441,342350111.1,0.484636187,0.012988631,2870895.467,0.340270855,0,0.659729145,0,210,5,8
3838,Mali,Mafounè,Sira,12.76,-4.48,14,5.88,couple,No_school,6,6,5.55,n/a,oct,0,45,ModeratelyFI,8,5,3,8,5,3,1350,0,1350,3192.75,1350,3192.75,1842.75,0,0,0,18316.09356,9812.6922,39310000,18250000,0,21060000,18250000,0,0,39310000,0.464258458,0,24960.24121,0.40580159,0,0.59419841,0,189,3,6
3839,Mali,Mafounè,Sira,12.76,-4.47,4,1.1,couple,adult_education,17,15,2.7,aug,oct,1,50,ModeratelyFI,4,3,1,2,0,2,185.4,0,185.4,687.15,185.4,687.15,501.75,0,0,0,21208.80033,14966.37609,8515333.333,2506333.333,0,6009000,2506333.333,0,0,8515333.333,0.294331794,0,16601.12487,0.438422462,0,0.561577538,0,703.5,3,4
3840,Mali,Mafounè,Sira,12.76,-4.47,28,15.33,couple,No_school,31,28,8.6,aug,oct,1,31,ModeratelyFI,5,4,1,2,0,2,900,450,450,1719,450,1719,1269,0,0,0,4838.425268,2664.039532,27073166.67,12166666.67,6083333.333,14906500,6083333.333,0,0,20989833.33,0.224699733,0,36995.81376,0.479168886,0,0.520831114,0,294,4,7
3841,Mali,Mafounè,Mankoina,12.87,-4.43,12,7.2,couple,primary,1,6,2.95,aug,dec,2,54,SeverelyFI,0,0,0,1,0,0,718.875,0,718.875,1503.9,718.875,1503.9,785.025,0,0,0,7217.855784,3519.939117,18968525,9718125,0,9250400,9718125,0,0,18968525,0.512328977,0,14129.9234,0.423586113,0,0.576413887,0,120,5,6
3842,Mali,Mafounè,Mankoina,12.87,-4.43,10,5.18,couple,primary,1,4,4.25,aug,dec,2,57,SeverelyFI,3,3,0,1,0,0,1462.21125,0,1462.21125,1943.43,670.78125,1152,481.21875,791.4299997,791.4299997,0,13600.11761,3145.296716,25713742.36,19766929.86,0,5946812.5,9067968.75,0,10698961.11,25713742.36,0.768730183,0.416079502,20177.84191,0.450089616,0.008138254,0.533633876,0.008138254,40,5,6
3843,Mali,Mafounè,Mankoina,12.87,-4.43,9,5.85,couple,No_school,1,3,1.32,aug,dec,2,36,SeverelyFI,4,0,4,1,0,0,253.56,0,253.56,407.46,202.5,356.4,153.9,51.05999999,51.05999999,0,2463.390964,858.0728252,5259955.555,3427755.555,0,1832200,2737500,0,690255.5554,5259955.555,0.651670061,0.131228401,4268.783895,0.384755281,0,0.615244719,0,16,5,5
3844,Mali,Mafounè,Mankoina,12.87,-4.43,8,4.25,couple,No_school,1,3,2.08,aug,dec,3,25,SeverelyFI,4,1.5,2.5,0,0,0,270,0,270,650.25,270,650.25,380.25,0,0,0,3876.712329,1523.771152,6013750,3650000,0,2363750,3650000,0,0,6013750,0.606942424,0,5322.962354,0.217753725,0.231159217,0.319927841,0.231159217,40,4,5
3845,Mali,Mafounè,Mankoina,12.87,-4.43,16,8.75,couple,primary,17,3,0.82,aug,dec,4,43,SeverelyFI,1,0,1,1,0,0,120.65625,0,120.65625,678.375,120.65625,678.375,557.71875,0,0,0,2606.878669,2096.164384,8325718.75,1631093.75,0,6694625,1631093.75,0,0,8325718.75,0.195910263,0,2449.652339,0.479718172,0,0.520281828,0,0,3,3
3846,Mali,Mafounè,Mankoina,12.87,-4.43,28,12.68,couple,secondary,18,12,16.25,n/a,nov,0,41,ModeratelyFI,10,8,2,10,8,2,1679.53,0,1679.53,3505.60625,1228.5,2511,1282.5,451.0299998,994.6062496,543.5762498,7936.577375,3030.834882,36732067.41,22704757.41,0,12495525,16607500,1531785,6097257.405,36732067.41,0.618118146,0.207694338,72410.17899,0.333317968,4.39E-05,0.333319056,0.333319056,63,4,8
3847,Mali,Mafounè,Mankoina,12.87,-4.43,14,9,couple,secondary,18,8,6.9,n/a,nov,0,42,MildlyFI,10,7.333333333,1.333333333,10,7.333333333,1.333333333,11124.7,0,11124.7,15855.55,11082.15,15813,4730.85,42.55,42.55,0,49109.94306,3329.284627,161326163,150389463,0,10930250,149814250,6450,575212.963,161326163,0.932207524,0.003605509,33365.75168,0.249453744,0.249453744,0.250546256,0.250546256,157.5,5,7
3848,Mali,Mafounè,Madoulo,12.76,-4.44,14,6.18,man_single,primary,10,10,7.4,aug,nov,4,13,ModeratelyFI,8,2,6,1,0.333333333,0.333333333,487.005,0,487.005,896.505,270,679.5,409.5,217.005,217.005,0,4762.739332,1844.094959,10743311.11,6583586.111,0,4156500,3650000,3225,2933586.111,10743311.11,0.612807918,0.273361823,32223.28869,0.333349054,0.333260475,0.33339047,0,40,4,6
3849,Mali,Mafounè,Madoulo,12.76,-4.44,18,7.91,couple,No_school,10,10,2.8,aug,nov,3,20,ModeratelyFI,8,4,4,1,0.5,0.5,1034.9125,0,1034.9125,2023.675,992.3625,1981.125,988.7625,42.55,42.55,0,7964.890566,3119.114005,22995833.8,13990483.8,0,9002125,13415270.83,3225,575212.963,22995833.8,0.608392108,0.025154033,14339.39018,0.146754526,0.293509051,0.186578808,0.373157616,94.5,4,6
3850,Mali,Mafounè,Madoulo,12.76,-4.44,8,4.1,couple,postsecondary,7,7,6.7,n/a,nov,0,20,FoodSecure,6,3,3,6,3,3,934.0499999,0,934.0499999,1446.4875,614.925,1127.3625,512.4375,319.1249999,319.1249999,0,11947.40543,3509.736051,17879292.22,12626972.22,0,5248450,8312875,3870,4314097.221,17879292.22,0.706234456,0.241506608,31016.05447,3.46E-05,6.92E-05,0.499924734,0.499971425,73.5,4,7
3851,Mali,Mafounè,Madoulo,12.76,-4.44,14,6.95,couple,primary,2,2,0.7,aug,sep,3,7,SeverelyFI,4,4,0,1,0,1,464.0625,92.8125,371.25,592.875,371.25,592.875,221.625,0,0,0,3159.983246,686.9616635,8016087.5,6273437.5,1254687.5,1742650,5018750,0,0,6761400,0.626084733,0,2034.339443,0.162438377,0.324876755,0.170894956,0.341789912,0,2,1
3852,Mali,Mafounè,Madoulo,12.76,-4.44,13,7.75,couple,No_school,17,15,7.25,n/a,nov,0,38,FoodSecure,7,4.5,2,7,4.5,2,2158.45,431.69,1726.76,2560.385,1080,1913.625,833.625,646.76,646.76,0,13130.99825,2815.825011,37144311.3,29179046.3,5835809.259,7960750,14600000,4515,8743237.037,31308502.04,0.628447162,0.235507181,30630.92206,0.497581465,0.000975817,0.500466901,0.000975817,115.5,6,7
3853,Mali,Mafounè,Madoulo,12.76,-4.44,4,2.5,couple,primary,NA,3,5.9,aug,nov,2,27,SeverelyFI,5,2,2,1,0,1,818.3999999,409.1999999,409.1999999,652.8288124,153.9,370.35,216.45,255.2999999,282.4788124,27.17881249,14929.94225,2805.497808,13623572.3,11063555.55,5531777.777,2483750,2080500,76266.75,3451277.777,8091794.527,0.406044586,0.258929483,22837.76958,0.319094401,0.099970925,0.480963748,0.099970925,21,2,5
3854,Mali,Mafounè,Madoulo,12.76,-4.44,18,7.3,couple,adult_education,2,18,9.2,n/a,nov,0,20,FoodSecure,6,4,1.5,6,4,1.5,2499.086806,249.9086806,2249.178125,4564.2875,2164.078125,4479.1875,2315.109375,85.1,85.1,0,20560.72247,7881.438825,54784045.01,33783951.26,3378395.126,21000093.75,29255130.21,0,1150425.926,51405649.88,0.555007505,0.020999288,36747.50992,0.363861389,0.076209776,0.483719059,0.076209776,157.5,4,7
3855,Mali,Mafounè,Madoulo,12.76,-4.44,6,4.2,couple,primary,3,3,2.36,aug,oct,4,32,SeverelyFI,6,3.5,2,1,0,1,257.625,0,257.625,452.25,257.625,452.25,194.625,0,0,0,3767.422266,1495.596869,5775458.333,3482708.333,0,2292750,3482708.333,0,0,5775458.333,0.603018519,0,11751.70377,0.322078567,0.073701823,0.530517786,0.073701823,84,5,4
3856,Mali,Mafounè,Madoulo,12.76,-4.44,1,0.5,couple,No_school,1,5,3.7,n/a,oct,0,56,ModeratelyFI,6,1.5,4.5,6,1.5,4.5,289.4375,57.8875,231.55,490.3,189,447.75,258.75,42.55,42.55,0,37700.36276,16260.54795,6880316.204,3912766.204,782553.2407,2967550,2555000,0,575212.963,6097762.963,0.454951905,0.083602693,17013.41525,0.379519778,0.089482609,0.400184853,0.13081276,0,3,5
3857,Mali,Mafounè,Madoulo,12.75,-4.44,17,9.23,couple,secondary,8,16,14.6,n/a,oct,0,49,FoodSecure,7,5,2,7,5,2,6685.92,3342.96,3342.96,4916.835,3036.6,4610.475,1573.875,306.3599999,306.3599999,0,32354.141,5525.683076,108999483.3,90383733.33,45191866.67,18615750,41050333.33,0,4141533.332,63807616.67,0.414606247,0.037995899,57826.13396,0.000260836,7.75E-05,0.999584142,7.75E-05,115.5,4,7
3858,Mali,Mafounè,Madoulo,12.76,-4.44,19,11.43,couple,adult_education,5,10,3.1,n/a,oct,0,39,MildlyFI,5,4.5,0.5,5,4.5,0.5,247.5,123.75,123.75,1004.625,123.75,1004.625,880.875,0,0,0,3278.552795,2476.56971,13677958.33,3345833.333,1672916.667,10197750,1672916.667,134375,0,12005041.67,0.122307484,0.0098242,11649.35835,0.464308531,0,0.535691469,0,0,4,5
3859,Mali,Mafounè,Madoulo,12.76,-4.44,11,6.95,couple,adult_education,13,8,11.26,n/a,oct,0,51,MildlyFI,3,2,1,3,2,1,900.4499999,0,900.4499999,1502.325,517.5,1119.375,601.875,382.9499999,382.9499999,0,7580.171479,2781.610328,19229000,12172750,0,7056250,6995833.333,0,5176916.665,19229000,0.63304124,0.269224435,47913.28803,0.440256909,0,0.559743091,0,52.5,2,8
3860,Mali,Mafounè,Madoulo,12.76,-4.44,15,6.03,couple,adult_education,7,10,15,n/a,oct,0,42,ModeratelyFI,5,4,1,5,4,1,3699.299999,1849.649999,1849.649999,2522.399999,445.5,1118.25,672.75,1404.149999,1404.149999,0,26353.87244,3632.295145,58003555.54,50009055.54,25004527.77,7994500,6022500,0,18982027.77,32999027.77,0.431086121,0.327256279,65364.68176,4.58E-06,0,0.999995418,0,73.5,3,6
3861,Mali,Mafounè,Madoulo,12.76,-4.44,18,8.98,couple,adult_education,26,16,8.75,n/a,aug,0,40,FoodSecure,3,2,1,3,2,1,984.1249998,196.825,787.2999998,1798.9,361.8,1373.4,1011.6,425.4999998,425.4999998,0,6928.897408,2869.980474,22710847.03,13303912.03,2660782.407,9406935,4891000,0,5752129.627,20050064.63,0.468636401,0.253276754,32975.21785,0.237184419,0.230030264,0.302755053,0.230030264,252,4,7
3862,Mali,Mafounè,Madoulo,12.76,-4.44,11,4.43,couple,No_school,8,7,1.4,aug,nov,4,26,SeverelyFI,5,3,2,2,0.333333333,0.833333333,638.4375,127.6875,510.75,846.5625,510.75,846.5625,335.8125,0,0,0,7421.768865,2084.108971,12000629.17,8630729.167,1726145.833,3369900,6904583.333,0,0,10274483.33,0.575351778,0,5719.98911,0.400032788,0.090568912,0.418829389,0.090568912,1.47,4,2
3863,Mali,Mafounè,Madoulo,12.76,-4.44,4,1.6,couple,No_school,4.25,4.25,1.6,aug,dec,4,43,SeverelyFI,5,3,2,2,1.5,0.5,56.25,11.25,45,321.1875,45,321.1875,276.1875,0,0,0,6529.215183,5227.131849,3813061.667,760416.6667,152083.3333,3052000,608333.3333,645,0,3660978.333,0.159539338,0.000169155,6168.43368,0.454705827,0,0.545294173,0,10,3,3
3864,Mali,Mafounè,Madoulo,12.76,-4.44,19,10.63,couple,No_school,23,22,10.6,aug,oct,2,21,ModeratelyFI,4,3.5,0.5,2,1.5,0.5,390.9375,78.1875,312.75,2587.5,312.75,2587.5,2274.75,0,0,0,8039.155359,6677.051251,31191520.83,5284895.833,1056979.167,25906625,4227916.667,0,0,30134541.67,0.135546987,0,46869.45632,0.449968165,0.019426663,0.511178509,0.019426663,210,4,7
3865,Mali,Mafounè,Mankoina,12.87,-4.43,13,6.95,couple,primary,7,4,7.85,aug,nov,2,19,ModeratelyFI,6,2,3,1,0,1,1097.575,0,1097.575,1551.175,480.6,934.2,453.6,616.9749998,616.9749998,0,8071.758337,2222.704248,20476032.96,14837587.96,0,5631995,6497000,6450,8340587.96,20476032.96,0.724631963,0.407649176,24610.49834,0.333317954,1.99E-05,0.333324217,0.333337932,64,4,5
3866,Mali,Mafounè,Mankoina,12.87,-4.43,21,10.03,couple,primary,15,5,2.85,aug,nov,3,32,ModeratelyFI,8,3,1,1,0.5,0.5,731.8599999,365.93,365.93,703.43,0,337.5,337.5,365.93,365.93,0,3779.637242,1077.152105,13837062.96,9893662.962,4946831.481,3930500,0,12900,4946831.481,8890231.481,0.357505888,0.358438167,9332.61958,0.152967503,0.305935007,0.18036583,0.36073166,0,3,3
3867,Mali,Mafounè,Mankoina,12.87,-4.43,11,4.2,man_single,primary,3,3,3.1,aug,nov,3,19,ModeratelyFI,6,1,1,1,0,1,401.65,0,401.65,912.85,359.1,870.3,511.2,42.54999999,42.54999999,0,7007.099128,3465.212003,10741882.96,5429712.963,0,5312170,4854500,0,575212.9629,10741882.96,0.505471246,0.053548616,16888.02712,0.467619291,0,0.532380709,0,0,3,5
3868,Mali,Mafounè,Mankoina,12.87,-4.43,8,5,couple,No_school,NA,2,1.5,aug,nov,3,32,SeverelyFI,8,1.5,2,1,0,1,192.0375,0,192.0375,499.725,192.0375,499.725,307.6875,0,0,0,3362.467123,1939.967123,6136502.5,2596062.5,0,3527002.5,2596062.5,13437.5,0,6136502.5,0.423052464,0.002189765,4304.913126,0.159777744,0.319555487,0.17355559,0.34711118,0,2,2
3869,Mali,Mafounè,Mankoina,12.88,-4.43,7,2.75,couple,primary,5,5,0.3,aug,nov,4,36,SeverelyFI,7,1.5,3.5,3,0,2.5,85.1,0,85.1,376.25,0,291.15,291.15,85.1,85.1,0,7795.667174,6649.539228,7824900.926,1150425.926,0,6671250,0,3225,1150425.926,7824900.926,0.147021149,0.147433295,671.807622,0.499959371,4.07E-05,0.499959352,4.06E-05,0,4,1
3870,Mali,Mafounè,Mankoina,12.87,-4.43,7,3.5,man_single,No_school,2,7,10.6,n/a,nov,0,24,FoodSecure,8,2.5,2,8,2.5,2,3100.40625,620.0812499,2480.325,3911.930625,1459.125,2774.25,1315.125,1021.2,1137.680625,116.480625,46218.59632,13410.06458,59044256.8,41912899.3,8382579.86,15385500,19725208.33,1745857.5,13805111.11,50661676.94,0.56788452,0.263378175,49468.23136,0.499997152,0,0.500002848,0,115.5,5,5
3871,Mali,Mafounè,Mankoina,12.87,-4.43,4,2.1,couple,primary,1,2,1.65,aug,nov,2,32,SeverelyFI,5,2,2.5,1,0,1,129.9078125,25.9815625,103.92625,294.139,86.90625,277.119,190.21275,17.02,17.02,0,5307.744513,3016.601435,4068386.169,1756161.169,351232.2338,2312225,1174843.75,0,230085.1852,3717153.935,0.345328314,0.056554411,4765.436114,0.448213599,0.036973888,0.477838625,0.036973888,42,3,3
